key,enabled,identity,password,username
user-account-manager-01,true,"UserIdentity{name: 'Mateo', surname: 'Rodríguez', email: 'mateo.rod92@email.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Valeria', surname: 'Garmendia', email: 'v.garmendia@mail.net'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Adrián', surname: 'Castillo', email: 'adri_castillo@webmail.es'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'Sofía', surname: 'Villalobos', email: 'sofia.v-88@proweb.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Thiago', surname: 'Méndez', email: 'thiago.mendez@fastmail.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'Isabella', surname: 'Padrón', email: 'isabella.p-dev@cloudmail.org'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Julián', surname: 'Soria', email: 'julian_soria@inter.net'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'Lucía', surname: 'Ferrero', email: 'lferrero.pro@digitalmail.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Diego', surname: 'Aranda', email: 'd.aranda_95@servidor.es'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'Camila', surname: 'Benítez', email: 'cami.benitez@enlace.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Nicolás', surname: 'Duarte', email: 'nico.duarte_oficial@mail.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'Martina', surname: 'Guevara', email: 'martina.g@vuelo.net'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Bruno', surname: 'Salgado', email: 'bruno_sal_90@buzon.es'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'Elena', surname: 'Figueroa', email: 'efigueroa.web@correo.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Sebastián', surname: 'Luján', email: 'sebastian.lujan.26@global.net'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'Natalia', surname: 'Cisneros', email: 'naty_cisneros@esencia.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Joaquín', surname: 'Peralta', email: 'j.peralta@nube.es'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Renata', surname: 'Olmos', email: 'renata_olmos84@vanguardia.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Felipe', surname: 'Rozas', email: 'felipe.rozas@espacio.net'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Victoria', surname: 'Meneses', email: 'vicky.meneses@estudio.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Leonardo', surname: 'Basurto', email: 'leo_basurto@horizonte.es'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'Carmen', surname: 'Marin', email: 'elcorreodecarmen8@gmail.com'}",manager22,manager22
